year,node1,node2,node3,sign12,sign13,sign23,balanced,actor_load_mean,actor_load_min,deg_mean,tie_btw_mean,tie_emb_mean,triad_overlap,triad_id,triad_log_cinc_mean,balanced_prior,target_year,balanced_t5,outcome,frozen,era,trade12,trade13,trade23,tie_trade_mean
1848,220,300,329,-1,-1,-1,FALSE,0.43313666574201615,0.1729451534760484,7.333333333333333,13.055555555555555,1.3333333333333333,0.33333333333333326,220-300-329,-2.7910203937819342,NA,1853,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1850,240,245,255,1,-1,1,FALSE,0.3530524875210895,0.2961388237496427,9.666666666666666,2,8,7,240-245-255,-4.5198956271669015,TRUE,1855,TRUE,flipped,FALSE,pre-1945,NA,NA,NA,NA
1850,240,255,271,1,-1,1,FALSE,0.3530524875210895,0.2961388237496427,9.666666666666666,2,8,7,240-255-271,-4.908735807130368,TRUE,1855,TRUE,flipped,FALSE,pre-1945,NA,NA,NA,NA
1850,240,255,273,1,-1,1,FALSE,0.3530524875210895,0.2961388237496427,9.666666666666666,2,8,7,240-255-273,-5.04367121436715,TRUE,1855,TRUE,flipped,FALSE,pre-1945,NA,NA,NA,NA
1850,245,255,280,-1,1,1,FALSE,0.3530524875210895,0.2961388237496427,9.666666666666666,2,8,7,245-255-280,-4.966548440941451,TRUE,1855,TRUE,flipped,FALSE,pre-1945,NA,NA,NA,NA
1850,245,255,275,-1,1,1,FALSE,0.3530524875210895,0.2961388237496427,9.666666666666666,2,8,7,245-255-275,-4.651677084498887,TRUE,1855,TRUE,flipped,FALSE,pre-1945,NA,NA,NA,NA
1850,245,255,267,-1,1,1,FALSE,0.3530524875210895,0.2961388237496427,9.666666666666666,2,8,7,245-255-267,-4.616771922220214,TRUE,1855,TRUE,flipped,FALSE,pre-1945,NA,NA,NA,NA
1850,245,255,269,-1,1,1,FALSE,0.3530524875210895,0.2961388237496427,9.666666666666666,2,8,7,245-255-269,-4.3658971657305585,TRUE,1855,TRUE,flipped,FALSE,pre-1945,NA,NA,NA,NA
1850,255,267,273,1,-1,1,FALSE,0.3530524875210895,0.2961388237496427,9.666666666666666,2,8,7,255-267-273,-5.140547509420461,TRUE,1855,TRUE,flipped,FALSE,pre-1945,NA,NA,NA,NA
1850,255,267,271,1,-1,1,FALSE,0.3530524875210895,0.2961388237496427,9.666666666666666,2,8,7,255-267-271,-5.00561210218368,TRUE,1855,TRUE,flipped,FALSE,pre-1945,NA,NA,NA,NA
