year,triad_id,balanced,actor_load_mean,tie_btw_mean,tie_emb_mean,triad_log_cinc_mean,prev_year,prev_balanced,is_onset,spell_id_local,spell_id,t1,event,is_terminal_row,row_event,z_actor_load,z_tie_btw,z_tie_emb,z_cinc,era,event_dissolve,event_flip
1994,100-101-110,FALSE,0.1146704384053689,1,32,-6.80251398392624,1993,TRUE,TRUE,1,100-101-110_S1,1995,flipped,FALSE,continues,-0.8099562781583123,-0.5537596743545242,1.4148164200442492,-0.3138748643825262,post-1989,0,0
1995,100-101-110,FALSE,0.11500797867443287,1,32,-6.7944082324162265,1994,FALSE,FALSE,1,100-101-110_S1,1995,flipped,TRUE,flipped,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,-0.3084562678182928,post-1989,0,1
1997,100-101-110,FALSE,0.11500797867443287,1,32,-6.769972905174943,1996,TRUE,TRUE,2,100-101-110_S2,1997,flipped,TRUE,flipped,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,-0.292121547950312,post-1989,0,1
1999,100-101-110,FALSE,0.11469305691776173,1,32,-6.7866047277587,1998,TRUE,TRUE,3,100-101-110_S3,2000,flipped,FALSE,continues,-0.8096402073106089,-0.5537596743545242,1.4148164200442492,-0.3032397196087881,post-1989,0,0
2000,100-101-110,FALSE,0.11462239730844685,1,32,-6.79006133174727,1999,FALSE,FALSE,3,100-101-110_S3,2000,flipped,TRUE,flipped,-0.8106276039274449,-0.5537596743545242,1.4148164200442492,-0.30555041744763045,post-1989,0,1
2003,100-101-110,FALSE,0.11476740687100999,1,32,-6.8640234391094,2002,TRUE,TRUE,4,100-101-110_S4,2003,flipped,TRUE,flipped,-0.8086012418675352,-0.5537596743545242,1.4148164200442492,-0.35499318908216554,post-1989,0,1
2006,100-101-110,FALSE,0.11490357687453194,1,32,-6.8758502900553955,2005,TRUE,TRUE,5,100-101-110_S5,2006,flipped,TRUE,flipped,-0.8066984037101239,-0.5537596743545242,1.4148164200442492,-0.36289929548358957,post-1989,0,1
2008,100-101-110,FALSE,0.11483313371520337,1,32,-6.836184647323654,2007,TRUE,TRUE,6,100-101-110_S6,2010,flipped,FALSE,continues,-0.8076827756571908,-0.5537596743545242,1.4148164200442492,-0.3363832944491634,post-1989,0,0
2009,100-101-110,FALSE,0.11483313371520337,1,32,-6.874542626237112,2008,FALSE,FALSE,6,100-101-110_S6,2010,flipped,FALSE,continues,-0.8076827756571908,-0.5537596743545242,1.4148164200442492,-0.3620251380826169,post-1989,0,0
2010,100-101-110,FALSE,0.1148677345878587,1,32,-6.894370632100297,2009,FALSE,FALSE,6,100-101-110_S6,2010,flipped,TRUE,flipped,-0.8071992634366915,-0.5537596743545242,1.4148164200442492,-0.3752799194946949,post-1989,0,1
1982,100-101-115,FALSE,0.12547831666631967,1.8888888888888886,28,-6.912209896083423,1981,TRUE,TRUE,1,100-101-115_S1,1982,flipped,TRUE,flipped,-0.658927104157609,-0.5322415441626295,0.9601797284892816,-0.38720525108276593,1945-1989,0,1
1987,100-101-115,FALSE,0.12705535741502813,1,29,-6.799760958743971,1986,TRUE,TRUE,2,100-101-115_S2,1988,flipped,FALSE,continues,-0.636889553780729,-0.5537596743545242,1.0738389013780234,-0.3120345004415071,1945-1989,0,0
1988,100-101-115,FALSE,0.12705535741502813,1,29,-6.823240358189069,1987,FALSE,FALSE,2,100-101-115_S2,1988,flipped,TRUE,flipped,-0.636889553780729,-0.5537596743545242,1.0738389013780234,-0.32773019417284044,1945-1989,0,1
1994,100-101-115,FALSE,0.1146704384053689,1,32,-6.789876506514347,1993,TRUE,TRUE,3,100-101-115_S3,1995,flipped,FALSE,continues,-0.8099562781583123,-0.5537596743545242,1.4148164200442492,-0.3054268640212933,post-1989,0,0
1995,100-101-115,FALSE,0.11500797867443287,1,32,-6.782265165833462,1994,FALSE,FALSE,3,100-101-115_S3,1995,flipped,TRUE,flipped,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,-0.3003387750992849,post-1989,0,1
1997,100-101-115,FALSE,0.11500797867443287,1,32,-6.759843604085251,1996,TRUE,TRUE,4,100-101-115_S4,1997,flipped,TRUE,flipped,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,-0.2853502330370823,post-1989,0,1
2000,100-101-115,FALSE,0.11462239730844685,1,32,-6.752846430186193,1999,TRUE,TRUE,5,100-101-115_S5,2000,flipped,TRUE,flipped,-0.8106276039274449,-0.5537596743545242,1.4148164200442492,-0.2806727071590759,post-1989,0,1
2003,100-101-115,FALSE,0.11476740687100999,1,32,-6.857997665420579,2002,TRUE,TRUE,6,100-101-115_S6,2003,flipped,TRUE,flipped,-0.8086012418675352,-0.5537596743545242,1.4148164200442492,-0.35096503246192434,post-1989,0,1
2006,100-101-115,FALSE,0.11490357687453194,1,32,-6.824702088078031,2005,TRUE,TRUE,7,100-101-115_S7,2006,flipped,TRUE,flipped,-0.8066984037101239,-0.5537596743545242,1.4148164200442492,-0.3287073428732891,post-1989,0,1
2008,100-101-115,FALSE,0.11483313371520337,1,32,-6.761944266183967,2007,TRUE,TRUE,8,100-101-115_S8,2010,flipped,FALSE,continues,-0.8076827756571908,-0.5537596743545242,1.4148164200442492,-0.2867545001697047,post-1989,0,0
2009,100-101-115,FALSE,0.11483313371520337,1,32,-6.76553356658879,2008,FALSE,FALSE,8,100-101-115_S8,2010,flipped,FALSE,continues,-0.8076827756571908,-0.5537596743545242,1.4148164200442492,-0.28915390395324614,post-1989,0,0
2010,100-101-115,FALSE,0.1148677345878587,1,32,-6.785881554513266,2009,FALSE,FALSE,8,100-101-115_S8,2010,flipped,TRUE,flipped,-0.8071992634366915,-0.5537596743545242,1.4148164200442492,-0.3027562870660791,post-1989,0,1
1982,100-101-130,FALSE,0.12547831666631967,1.8888888888888886,28,-5.91134254910099,1981,TRUE,TRUE,1,100-101-130_S1,1982,flipped,TRUE,flipped,-0.658927104157609,-0.5322415441626295,0.9601797284892816,0.2818624301695564,1945-1989,0,1
1987,100-101-130,FALSE,0.12705535741502813,1,29,-5.859362759137327,1986,TRUE,TRUE,2,100-101-130_S2,1988,flipped,FALSE,continues,-0.636889553780729,-0.5537596743545242,1.0738389013780234,0.3166102892617973,1945-1989,0,0
1988,100-101-130,FALSE,0.12705535741502813,1,29,-5.856098292196325,1987,FALSE,FALSE,2,100-101-130_S2,1988,flipped,TRUE,flipped,-0.636889553780729,-0.5537596743545242,1.0738389013780234,0.3187925458149022,1945-1989,0,1
1994,100-101-130,FALSE,0.1146704384053689,1,32,-5.72713262915985,1993,TRUE,TRUE,3,100-101-130_S3,1995,flipped,FALSE,continues,-0.8099562781583123,-0.5537596743545242,1.4148164200442492,0.4050045272419448,post-1989,0,0
1995,100-101-130,FALSE,0.11500797867443287,1,32,-5.697091821042091,1994,FALSE,FALSE,3,100-101-130_S3,1995,flipped,TRUE,flipped,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,0.4250864430831334,post-1989,0,1
