year,balanced,unbalanced
1816,60,0
1817,60,0
1818,60,0
1819,60,0
1820,60,0
1821,60,0
1822,60,0
1823,56,0
1824,56,0
1825,56,0
1826,56,0
1827,60,0
1828,60,0
1829,57,0
1830,56,0
1831,56,0
1832,58,0
1833,65,0
1834,61,0
1835,61,0
1836,61,0
1837,61,0
1838,89,0
1839,89,0
1840,94,0
1841,85,0
1842,85,0
1843,121,0
1844,121,0
1845,121,0
1846,121,0
1847,125,0
1848,122,1
1849,121,0
1850,101,20
1851,121,0
1852,121,0
1853,122,0
1854,133,0
1855,137,0
1856,137,1
1857,121,1
1858,122,1
1859,124,1
1860,121,0
1861,125,0
1862,125,1
1863,127,0
1864,120,16
1865,116,8
1866,93,1
1867,6,0
1868,6,0
1869,6,0
1870,10,1
1871,5,1
1872,1,0
1873,2,0
1874,2,0
1875,2,0
1876,2,2
1877,2,1
1878,2,0
1879,1,0
1880,2,0
1881,1,0
1882,3,0
1883,3,0
1884,3,0
1885,3,0
1886,8,0
1887,7,0
1888,11,2
1889,8,2
1890,7,1
1891,7,1
1892,8,0
1893,8,0
1894,8,0
1895,8,0
1896,11,1
1897,18,10
1898,6,2
1899,4,0
1900,8,2
1901,4,0
1902,6,0
1903,6,0
1904,3,2
1905,9,0
1906,4,0
1907,11,5
1908,16,0
1909,12,4
1910,16,0
1911,19,3
1912,17,2
1913,19,3
1914,58,6
1915,74,12
1916,108,6
1917,101,17
1918,76,30
1919,1,7
1920,2,1
1921,9,0
1922,7,3
1923,18,0
1924,16,0
1925,24,6
1926,40,10
1927,38,13
1928,39,3
1929,41,3
1930,40,0
1931,38,1
1932,38,1
1933,32,4
1934,36,11
1935,36,3
1936,1323,48
1937,1419,30
1938,1407,57
1939,1430,59
1940,1373,74
1941,1619,54
1942,1377,24
1943,1349,37
1944,1353,18
1945,1448,10
1946,1188,4
1947,1378,0
1948,1383,26
1949,1570,61
1950,1595,42
1951,1828,29
1952,1804,44
1953,1901,29
1954,1933,62
1955,1987,85
1956,2050,25
1957,1995,65
1958,2034,100
1959,2005,114
1960,2046,65
1961,2352,87
1962,2504,248
1963,2492,197
1964,2611,139
1965,2057,44
1966,2058,43
1967,2439,84
1968,2482,32
1969,2627,98
1970,2659,60
1971,3082,63
1972,3061,100
1973,3219,91
1974,3432,28
1975,3799,92
1976,3779,111
1977,4080,139
1978,4562,148
1979,5172,170
1980,5140,218
1981,5960,221
1982,6321,234
1983,6203,378
1984,6710,285
1985,6804,181
1986,6783,194
1987,6732,242
1988,6818,157
1989,7264,161
1990,7652,123
1991,8113,235
1992,8364,100
1993,8175,273
1994,8133,322
1995,8309,278
1996,8426,175
1997,8241,327
1998,8515,178
1999,8976,292
2000,9051,314
2001,8852,256
2002,8947,130
2003,8838,256
2004,8746,151
2005,8681,217
2006,8882,167
2007,8934,112
2008,8932,120
2009,8914,134
2010,8873,171
2011,8958,199
2012,8901,180
