year,threshold_pct,model,balanced,unbalanced,dissolved
1914,10,A: Classical,1,0,0
1914,10,B: Exit-vs-adaptation,0.9192708333333334,0,0.08072916666666667
1914,25,A: Classical,1,0,0
1914,25,B: Exit-vs-adaptation,0.8354166666666667,0,0.16458333333333333
1914,50,A: Classical,1,0,0
1914,50,B: Exit-vs-adaptation,0.69375,0,0.30625
1949,10,A: Classical,0.743838136112814,0.25616186388718576,0
1949,10,B: Exit-vs-adaptation,0.7302064173308808,0.25779685264663804,0.011996730022481096
1949,25,A: Classical,0.6847741671776006,0.31522583282239935,0
1949,25,B: Exit-vs-adaptation,0.6559983650112406,0.32162272634375644,0.022378908645003068
1949,50,A: Classical,0.6841814837522991,0.3158185162477008,0
1949,50,B: Exit-vs-adaptation,0.8763539750664217,0,0.12364602493357855
1985,10,A: Classical,0.5905511811023622,0.40944881889763785,0
1985,10,B: Exit-vs-adaptation,0.5794702934860414,0.39500835122882366,0.025521355285134818
1985,25,A: Classical,0.5955094249582438,0.4044905750417561,0
1985,25,B: Exit-vs-adaptation,0.5973085182534,0.3698401336196611,0.03285134812693868
1985,50,A: Classical,0.5714340252922929,0.428565974707707,0
1985,50,B: Exit-vs-adaptation,0.8697208303507517,0,0.1302791696492484
2005,10,A: Classical,0.5480145351015209,0.4519854648984791,0
2005,10,B: Exit-vs-adaptation,0.5825279088933842,0.3752416273319847,0.042230463774631
2005,25,A: Classical,0.554974900726755,0.44502509927324485,0
2005,25,B: Exit-vs-adaptation,0.6523413501161311,0.26258335206413425,0.08507529781973476
2005,50,A: Classical,0.5533453210459278,0.4466546789540721,0
2005,50,B: Exit-vs-adaptation,0.9087285532329362,0,0.0912714467670638
