year,total,unbalanced,clique_total,clique_unbalanced
1816,60,0,56,0
1817,60,0,56,0
1818,60,0,56,0
1819,60,0,56,0
1820,60,0,56,0
1821,60,0,56,0
1822,60,0,56,0
1823,56,0,56,0
1824,56,0,56,0
1825,56,0,56,0
1826,56,0,56,0
1827,60,0,56,0
1828,60,0,56,0
1829,57,0,56,0
1830,56,0,56,0
1831,56,0,56,0
1832,58,0,56,0
1833,65,0,56,0
1834,61,0,56,0
1835,61,0,56,0
1836,61,0,56,0
1837,61,0,56,0
1838,89,0,84,0
1839,89,0,84,0
1840,94,0,84,0
1841,85,0,84,0
1842,85,0,84,0
1843,121,0,120,0
1844,121,0,120,0
1845,121,0,120,0
1846,121,0,120,0
1847,125,0,120,0
1848,123,1,120,0
1849,121,0,0,0
1850,121,20,120,20
1851,121,0,120,0
1852,121,0,120,0
1853,122,0,120,0
1854,133,0,120,0
1855,137,0,120,0
1856,138,1,120,0
1857,122,1,120,0
1858,123,1,120,0
1859,125,1,120,0
1860,121,0,120,0
1861,125,0,120,0
1862,126,1,120,0
1863,127,0,120,0
1864,136,16,120,14
1865,124,8,120,8
1866,94,1,58,0
1867,6,0,0,0
1868,6,0,0,0
1869,6,0,0,0
1870,11,1,0,0
1871,6,1,0,0
1872,1,0,0,0
1873,2,0,0,0
1874,2,0,0,0
1875,2,0,0,0
1876,4,2,0,0
1877,3,1,0,0
1878,2,0,0,0
1879,1,0,0,0
1880,2,0,0,0
1881,1,0,0,0
1882,3,0,0,0
1883,3,0,0,0
1884,3,0,0,0
1885,3,0,0,0
1886,8,0,0,0
1887,7,0,0,0
1888,13,2,0,0
1889,10,2,0,0
1890,8,1,0,0
1891,8,1,0,0
1892,8,0,0,0
1893,8,0,0,0
1894,8,0,0,0
1895,8,0,0,0
1896,12,1,0,0
1897,28,10,0,0
1898,8,2,0,0
1899,4,0,0,0
1900,10,2,0,0
1901,4,0,0,0
1902,6,0,0,0
1903,6,0,0,0
1904,5,2,0,0
1905,9,0,0,0
1906,4,0,0,0
1907,16,5,0,0
1908,16,0,0,0
1909,16,4,0,0
1910,16,0,0,0
1911,22,3,0,0
1912,19,2,0,0
1913,22,3,0,0
1914,64,6,0,0
1915,86,12,0,0
1916,114,6,0,0
1917,118,17,0,0
1918,106,30,0,0
1919,8,7,0,0
1920,3,1,0,0
1921,9,0,0,0
1922,10,3,0,0
1923,18,0,0,0
1924,16,0,0,0
1925,30,6,0,0
1926,50,10,0,0
1927,51,13,0,0
1928,42,3,0,0
1929,44,3,0,0
1930,40,0,0,0
1931,39,1,0,0
1932,39,1,0,0
1933,36,4,0,0
1934,47,11,0,0
1935,39,3,0,0
1936,1371,48,1330,38
1937,1449,30,1414,26
1938,1464,57,1414,45
1939,1489,59,1414,31
1940,1447,74,1330,19
1941,1673,54,1330,19
1942,1401,24,1330,19
1943,1386,37,1330,19
1944,1371,18,1330,0
