emb_tercile,dur,n_total,n_dissolved,n_flipped,p_dissolved,p_flipped,p_ongoing
1,1,2093,456,933,0.21786908743430483,0.44577161968466317,0.33635929288103206
2,1,2092,43,1330,0.02055449330783939,0.635755258126195,0.34369024856596553
3,1,2092,1,1454,4.780114722753346e-4,0.6950286806883366,0.3044933078393881
1,2,2093,549,1283,0.2623029144768275,0.6129956999522217,0.12470138557095078
2,2,2092,46,1751,0.02198852772466539,0.8369980879541109,0.14101338432122368
3,2,2092,1,1796,4.780114722753346e-4,0.858508604206501,0.14101338432122368
1,3,2093,591,1340,0.28236980410893453,0.6402293358815098,0.0774008600095557
2,3,2092,69,1843,0.032982791586998086,0.8809751434034416,0.08604206500956024
3,3,2092,1,1917,4.780114722753346e-4,0.9163479923518164,0.08317399617590826
1,4,2093,595,1363,0.2842809364548495,0.6512183468705208,0.06450071667462964
2,4,2092,70,1867,0.033460803059273424,0.8924474187380497,0.07409177820267687
3,4,2092,1,1954,4.780114722753346e-4,0.9340344168260039,0.06548757170172081
1,5,2093,597,1375,0.285236502627807,0.6569517439082656,0.05781175346392742
2,5,2092,72,1883,0.03441682600382409,0.9000956022944551,0.06548757170172081
3,5,2092,1,2014,4.780114722753346e-4,0.9627151051625239,0.03680688336520077
1,6,2093,600,1378,0.2866698518872432,0.6583850931677019,0.05494505494505486
2,6,2092,72,1883,0.03441682600382409,0.9000956022944551,0.06548757170172081
3,6,2092,1,2019,4.780114722753346e-4,0.9651051625239006,0.03441682600382412
1,7,2093,602,1382,0.28762541806020064,0.6602962255136168,0.052078356426182526
2,7,2092,72,1884,0.03441682600382409,0.9005736137667304,0.06500956022944548
3,7,2092,1,2043,4.780114722753346e-4,0.9765774378585086,0.02294455066921608
1,8,2093,603,1383,0.2881032011466794,0.6607740086000956,0.05112279025322497
2,8,2092,72,1905,0.03441682600382409,0.9106118546845124,0.054971319311663436
3,8,2092,1,2065,4.780114722753346e-4,0.987093690248566,0.0124282982791587
1,9,2093,603,1383,0.2881032011466794,0.6607740086000956,0.05112279025322497
2,9,2092,72,1910,0.03441682600382409,0.9130019120458891,0.052581261950286784
3,9,2092,1,2089,4.780114722753346e-4,0.998565965583174,9.560229445506607e-4
1,10,2093,604,1383,0.28858098423315814,0.6607740086000956,0.05064500716674625
2,10,2092,72,1910,0.03441682600382409,0.9130019120458891,0.052581261950286784
3,10,2092,1,2089,4.780114722753346e-4,0.998565965583174,9.560229445506607e-4
1,11,2093,604,1383,0.28858098423315814,0.6607740086000956,0.05064500716674625
2,11,2092,72,1911,0.03441682600382409,0.9134799235181644,0.052103250478011454
3,11,2092,1,2090,4.780114722753346e-4,0.9990439770554493,4.7801147227533036e-4
1,12,2093,604,1383,0.28858098423315814,0.6607740086000956,0.05064500716674625
2,12,2092,72,1913,0.03441682600382409,0.9144359464627151,0.05114722753346079
3,12,2092,1,2090,4.780114722753346e-4,0.9990439770554493,4.7801147227533036e-4
1,13,2093,604,1383,0.28858098423315814,0.6607740086000956,0.05064500716674625
2,13,2092,72,1913,0.03441682600382409,0.9144359464627151,0.05114722753346079
3,13,2092,1,2090,4.780114722753346e-4,0.9990439770554493,4.7801147227533036e-4
1,14,2093,604,1385,0.28858098423315814,0.661729574773053,0.0496894409937888
2,14,2092,72,1934,0.03441682600382409,0.9244741873804971,0.041108986615678744
3,14,2092,1,2091,4.780114722753346e-4,0.9995219885277247,0
1,15,2093,604,1386,0.28858098423315814,0.6622073578595318,0.04921165790731008
2,15,2092,72,1934,0.03441682600382409,0.9244741873804971,0.041108986615678744
3,15,2092,1,2091,4.780114722753346e-4,0.9995219885277247,0
1,16,2093,604,1389,0.28858098423315814,0.6636407071189679,0.04777830864787391
2,16,2092,72,1934,0.03441682600382409,0.9244741873804971,0.041108986615678744
3,16,2092,1,2091,4.780114722753346e-4,0.9995219885277247,0
1,17,2093,605,1389,0.28905876731963687,0.6636407071189679,0.04730052556139519
2,17,2092,72,1934,0.03441682600382409,0.9244741873804971,0.041108986615678744
3,17,2092,1,2091,4.780114722753346e-4,0.9995219885277247,0
1,18,2093,605,1389,0.28905876731963687,0.6636407071189679,0.04730052556139519
2,18,2092,72,1934,0.03441682600382409,0.9244741873804971,0.041108986615678744
3,18,2092,1,2091,4.780114722753346e-4,0.9995219885277247,0
1,19,2093,605,1394,0.28905876731963687,0.6660296225513617,0.04491161012900147
2,19,2092,72,1934,0.03441682600382409,0.9244741873804971,0.041108986615678744
3,19,2092,1,2091,4.780114722753346e-4,0.9995219885277247,0
1,20,2093,605,1394,0.28905876731963687,0.6660296225513617,0.04491161012900147
2,20,2092,72,1934,0.03441682600382409,0.9244741873804971,0.041108986615678744
3,20,2092,1,2091,4.780114722753346e-4,0.9995219885277247,0
